snapshot_date,store_id,product_id,dept_id,quantity_on_hand,quantity_on_order,reorder_point,days_of_supply,shrinkage_units,unit_cost_usd,inventory_value_usd,last_received_date
2022-12-31,STR-0001,PRD-002181,D09,4616,1254,249,500.8,6,381.54,1761188.64,2022-11-07
2022-12-31,STR-0001,PRD-001165,D05,2533,1716,317,53.6,8,296.27,750451.91,2022-11-12
2022-12-31,STR-0001,PRD-000631,D03,2302,349,32,118.3,50,2.36,5432.72,2022-11-25
2022-12-31,STR-0001,PRD-000685,D03,4780,1859,40,112.0,32,282.45,1350111.0,2022-12-02
2022-12-31,STR-0001,PRD-000811,D04,3963,337,421,81.2,40,111.97,443737.11,2022-12-19
2022-12-31,STR-0001,PRD-002411,D10,897,976,261,55.0,45,224.29,201188.13,2022-12-30
2022-12-31,STR-0001,PRD-001617,D07,887,982,234,54.5,39,199.56,177009.72,2022-12-27
2022-12-31,STR-0001,PRD-001646,D07,110,1920,56,3.5,23,404.2,44462.0,2022-12-26
2022-12-31,STR-0001,PRD-001798,D08,1569,423,291,62.0,0,477.71,749526.99,2022-11-26
2022-12-31,STR-0001,PRD-000757,D04,4370,1773,446,182.3,6,193.88,847255.6,2022-11-24
2022-12-31,STR-0001,PRD-000648,D03,4312,1601,449,91.6,36,270.29,1165490.48,2022-12-08
2022-12-31,STR-0001,PRD-002013,D09,2173,1740,417,94.7,36,551.53,1198474.69,2022-11-02
2022-12-31,STR-0001,PRD-000024,D01,2625,17,32,74.5,2,160.71,421863.75,2022-12-10
2022-12-31,STR-0001,PRD-000972,D05,3801,1215,433,453.4,15,363.81,1382841.81,2022-11-03
2022-12-31,STR-0001,PRD-001747,D08,2477,548,364,648.1,8,56.35,139578.95,2022-11-11
2022-12-31,STR-0001,PRD-000437,D02,3714,1050,55,800.0,16,745.03,2767041.42,2022-12-09
2022-12-31,STR-0001,PRD-001008,D05,4270,171,435,995.6,50,742.56,3170731.2,2022-11-03
2022-12-31,STR-0001,PRD-001121,D05,1791,1524,224,64.6,43,247.76,443738.16,2022-11-22
2022-12-31,STR-0001,PRD-001012,D05,1549,747,466,58.2,29,798.41,1236737.09,2022-12-17
2022-12-31,STR-0001,PRD-002028,D09,2508,1161,431,60.9,10,189.8,476018.4,2022-11-16
2022-12-31,STR-0001,PRD-000985,D05,940,1565,138,41.5,39,224.4,210936.0,2022-11-21
2022-12-31,STR-0001,PRD-001714,D07,837,1516,223,78.7,13,642.26,537571.62,2022-11-03
2022-12-31,STR-0001,PRD-000701,D04,4767,310,105,209.9,34,314.48,1499126.16,2022-11-19
2022-12-31,STR-0001,PRD-000752,D04,1616,1248,118,36.8,37,22.76,36780.16,2022-11-14
2022-12-31,STR-0001,PRD-002143,D09,4922,598,482,315.9,19,56.47,277945.34,2022-11-27
2022-12-31,STR-0001,PRD-000420,D02,4926,427,229,152.9,22,192.85,949979.1,2022-12-06
2022-12-31,STR-0001,PRD-001633,D07,836,495,436,44.6,18,107.16,89585.76,2022-11-28
2022-12-31,STR-0001,PRD-000353,D02,2037,963,411,69.6,3,434.38,884832.06,2022-11-09
2022-12-31,STR-0001,PRD-002162,D09,2215,1032,497,59.9,35,739.3,1637549.5,2022-12-02
2022-12-31,STR-0001,PRD-001688,D07,4601,1682,397,135.3,9,0.82,12450.31,2022-11-12
2022-12-31,STR-0001,PRD-001342,D06,4825,1323,197,195.5,13,50.6,244145.0,2022-11-15
2022-12-31,STR-0001,PRD-000519,D03,480,1310,138,43.2,36,772.71,370900.8,2022-12-11
2022-12-31,STR-0001,PRD-001408,D07,3688,1064,238,137.6,38,796.56,2937713.28,2022-11-17
2022-12-31,STR-0001,PRD-000977,D05,129,1196,76,20.2,25,352.39,45458.31,2022-11-03
2022-12-31,STR-0001,PRD-002125,D09,986,1755,351,25.1,35,612.45,603875.7,2022-11-01
2022-12-31,STR-0001,PRD-000488,D03,1482,1764,247,35.6,9,583.54,864806.28,2022-11-05
2022-12-31,STR-0001,PRD-001526,D07,565,1709,226,11.8,38,589.34,332977.1,2022-12-27
2022-12-31,STR-0001,PRD-001336,D06,4608,26,29,425.4,15,677.93,3123901.44,2022-11-18
2022-12-31,STR-0001,PRD-000045,D01,29,853,327,2.4,2,769.37,22311.73,2022-11-11
2022-12-31,STR-0001,PRD-000047,D01,2859,1794,393,200.6,7,206.43,590183.37,2022-12-02
2022-12-31,STR-0001,PRD-002457,D10,1494,14,188,71.5,14,307.5,459405.0,2022-11-07
2022-12-31,STR-0001,PRD-000815,D04,4686,1414,389,94.8,37,257.56,1206926.16,2022-12-02
2022-12-31,STR-0001,PRD-000557,D03,4,651,55,0.2,2,460.42,1841.68,2022-12-11
2022-12-31,STR-0001,PRD-000621,D03,1667,153,64,41.2,41,606.77,3337902.45,2022-11-14
2022-12-31,STR-0001,PRD-001985,D09,3206,1641,151,142.3,26,137.86,441979.16,2022-12-24
2022-12-31,STR-0001,PRD-000686,D03,1465,1219,73,40.9,15,192.48,281983.2,2022-11-13
2022-12-31,STR-0001,PRD-002002,D09,3276,1614,392,68.4,27,658.9,2158556.4,2022-12-01
2022-12-31,STR-0001,PRD-001853,D08,3491,1427,112,87.8,29,545.5,1904340.5,2022-11-22
2022-12-31,STR-0001,PRD-000543,D03,4478,1232,358,108.8,17,522.91,2341590.98,2022-11-06
2022-12-31,STR-0001,PRD-001581,D07,3894,1102,242,1171.7,17,349.71,1361770.74,2022-11-03
2022-12-31,STR-0001,PRD-000182,D01,1242,405,249,127.4,17,52.74,65503.08,2022-11-21
2022-12-31,STR-0001,PRD-002389,D10,2452,1746,190,1252.0,31,313.31,768236.12,2022-12-21
2022-12-31,STR-0001,PRD-000003,D01,3252,1026,322,85.8,38,713.29,2319619.08,2022-12-25
2022-12-31,STR-0001,PRD-000950,D04,4625,1129,431,188.8,32,175.92,813630.0,2022-12-10
2022-12-31,STR-0001,PRD-000212,D01,4799,240,364,602.7,39,684.16,3283283.84,2022-11-23
2022-12-31,STR-0002,PRD-000853,D04,4918,642,419,150.5,50,317.57,5153970.56,2022-11-12
2022-12-31,STR-0002,PRD-000541,D03,2174,1725,239,57.4,39,725.32,1576845.68,2022-12-24
2022-12-31,STR-0002,PRD-001545,D07,3867,1520,466,165.7,35,9.77,124675.95,2022-11-02
2022-12-31,STR-0002,PRD-001176,D05,213,1965,284,6.7,40,599.1,127608.3,2022-11-23
2022-12-31,STR-0002,PRD-001570,D07,841,972,62,69.5,17,202.32,170151.12,2022-12-26
2022-12-31,STR-0002,PRD-001596,D07,4344,1080,321,125.3,30,167.04,2394551.81,2022-12-07
2022-12-31,STR-0002,PRD-001966,D09,3363,1736,348,82.1,21,479.48,1612491.24,2022-12-09
2022-12-31,STR-0002,PRD-000790,D04,-4852,1445,349,152.7,39,79.6,386219.2,2022-12-25
2022-12-31,STR-0002,PRD-000458,D03,623,854,322,21.0,30,516.58,321829.34,2022-12-06
2022-12-31,STR-0002,PRD-001664,D07,1381,66,70,52.2,33,534.38,2435329.97,2022-11-19
2022-12-31,STR-0002,PRD-000815,D04,3315,1788,145,98.2,13,257.56,853811.4,2022-12-21
2022-12-31,STR-0002,PRD-002253,D10,4395,1747,75,181.4,25,556.98,2447927.1,2022-12-05
2022-12-31,STR-0002,PRD-000499,D03,-1917,98,450,66.5,24,798.31,5050188.89,2022-11-26
2022-12-31,STR-0002,PRD-001035,D05,460,353,462,47.9,17,85.93,39527.8,2022-12-01
2022-12-31,STR-0002,PRD-001302,D06,4057,1751,330,127.4,48,745.5,3024493.5,2022-12-20
2022-12-31,STR-0002,PRD-001563,D07,4158,1294,147,106.2,16,322.4,4423779.36,2022-11-02
2022-12-31,STR-0002,PRD-001722,D08,4943,1796,292,100.3,6,226.21,1118156.03,2022-12-04
2022-12-31,STR-0002,PRD-000900,D04,3205,431,301,311.0,5,219.68,2323445.52,2022-12-16
2022-12-31,STR-0002,PRD-000829,D04,4061,1610,124,132.3,17,700.62,2845217.82,2022-12-01
2022-12-31,STR-0002,PRD-000777,D04,4822,1246,419,418.3,31,429.09,2069071.98,2022-11-30
2022-12-31,STR-0002,PRD-001820,D08,2790,1391,379,75.0,17,533.23,1487711.7,2022-11-23
2022-12-31,STR-0002,PRD-000144,D01,4668,1932,283,96.9,17,251.75,1175169.0,2022-12-03
2022-12-31,STR-0002,PRD-001775,D08,3961,222,471,118.9,44,717.9,2843601.9,2022-11-24
2022-12-31,STR-0002,PRD-000115,D01,1997,777,207,47.7,45,224.35,448026.95,2022-11-25
2022-12-31,STR-0002,PRD-001305,D06,1108,1563,400,66.1,21,736.24,815753.92,2022-11-18
2022-12-31,STR-0002,PRD-000743,D04,252,590,482,21.0,27,17.18,14286.89,2022-11-22
2022-12-31,STR-0002,PRD-002192,D09,1465,855,282,38.4,42,789.34,1156383.1,2022-11-10
2022-12-31,STR-0002,PRD-000854,D04,482,434,107,24.7,16,142.29,68583.78,2022-11-28
2022-12-31,STR-0002,PRD-000186,D01,1235,7,338,361.2,30,84.96,104925.6,2022-11-25
2022-12-31,STR-0002,PRD-000479,D03,3924,528,494,789.6,49,521.46,6752489.83,2022-11-07
2022-12-31,STR-0002,PRD-000045,D01,4550,672,364,2478.5,30,769.37,3500633.5,2022-11-10
2022-12-31,STR-0002,PRD-002233,D09,4529,1784,25,453.4,48,670.4,3036241.6,2022-12-09
2022-12-31,STR-0002,PRD-000898,D04,4291,211,100,167.6,16,432.4,1855428.4,2022-12-14
2022-12-31,STR-0002,PRD-002084,D09,4684,1049,27,212.4,48,620.24,2905204.16,2022-12-22
2022-12-31,STR-0002,PRD-000383,D02,2318,860,306,2096.2,15,473.48,1097526.64,2022-12-03
2022-12-31,STR-0002,PRD-001971,D09,3436,1516,415,134.5,45,428.86,1473562.96,2022-12-25
2022-12-31,STR-0002,PRD-000374,D02,2641,1869,468,112.0,25,143.1,377927.1,2022-12-09
2022-12-31,STR-0002,PRD-001522,D07,241,541,353,6.7,9,784.96,189175.36,2022-11-10
2022-12-31,STR-0002,PRD-001694,D07,4842,1872,488,217.1,11,682.86,3306408.12,2022-11-05
2022-12-31,STR-0002,PRD-000832,D04,606,1526,204,14.4,1,380.65,230673.9,2022-11-28
2022-12-31,STR-0002,PRD-001032,D05,60,112,304,5.8,37,602.65,36159.0,2022-12-07
2022-12-31,STR-0002,PRD-002409,D10,4527,1262,298,126.7,45,51.47,233004.69,2022-12-08
2022-12-31,STR-0002,PRD-002379,D10,4688,268,143,239.9,30,369.63,1732825.44,2022-12-18
2022-12-31,STR-0002,PRD-001643,D07,2007,1571,188,45.7,10,652.06,1308684.42,2022-11-23
2022-12-31,STR-0002,PRD-001136,D05,4436,1226,128,89.3,7,768.87,3410707.32,2022-12-07
2022-12-31,STR-0002,PRD-000473,D03,3597,876,364,264.4,42,89.47,321823.59,2022-12-25
2022-12-31,STR-0002,PRD-000667,D03,1952,1583,360,42.4,4,519.46,1013985.92,2022-11-22
2022-12-31,STR-0002,PRD-000199,D01,263,880,490,16.4,37,656.65,172698.95,2022-12-01
2022-12-31,STR-0002,PRD-002424,D10,2673,1255,319,60.1,18,462.7,1236797.1,2022-11-22
2022-12-31,STR-0002,PRD-000077,D01,1584,1922,10,816.1,32,697.26,1104459.84,2022-11-03
2022-12-31,STR-0002,PRD-001500,D07,3887,12,138,147.5,10,255.99,995033.13,2022-12-27
2022-12-31,STR-0002,PRD-000764,D04,1688,1378,404,92.1,19,84.72,143007.36,2022-12-27
2022-12-31,STR-0002,PRD-000335,D02,2729,1515,478,64.7,32,452.22,1234108.38,2022-11-04
2022-12-31,STR-0002,PRD-002228,D09,336,875,481,16.6,11,468.76,157503.36,2022-11-26
2022-12-31,STR-0002,PRD-001633,D07,4783,89,71,3057.6,41,107.16,512546.28,2022-12-20
2022-12-31,STR-0002,PRD-001701,D07,3000,1906,151,187.2,11,619.37,1858110.0,2022-12-28
2022-12-31,STR-0002,PRD-002284,D10,1946,810,121,116.4,17,530.44,3406379.59,2022-12-01
2022-12-31,STR-0002,PRD-000617,D03,3246,925,115,75.8,33,56.77,184275.42,2022-11-02
2022-12-31,STR-0002,PRD-001618,D07,2792,1394,379,60.0,4,591.17,1650546.64,2022-11-18
2022-12-31,STR-0002,PRD-002240,D10,2217,1848,54,113.2,3,288.98,640668.66,2022-12-03
2022-12-31,STR-0002,PRD-002389,D10,1495,1303,108,43.8,46,313.31,468398.45,2022-11-09
2022-12-31,STR-0002,PRD-000564,D03,958,578,87,21.7,25,338.99,324752.42,2022-12-18
2022-12-31,STR-0002,PRD-000994,D05,2797,1870,458,165.1,22,123.42,345205.74,2022-11-05
2022-12-31,STR-0002,PRD-001689,D07,4517,1831,380,135.4,25,351.04,1585647.68,2022-12-14
2022-12-31,STR-0002,PRD-002097,D09,2130,239,294,72.8,15,221.19,471134.7,2022-11-09
2022-12-31,STR-0002,PRD-000243,D02,3121,1727,467,63.9,6,166.0,518086.0,2022-12-21
2022-12-31,STR-0002,PRD-002362,D10,4062,1190,36,108.8,31,88.03,357577.86,2022-11-05
2022-12-31,STR-0002,PRD-001902,D08,2349,1309,395,65.6,0,191.27,449293.23,2022-12-08
2022-12-31,STR-0002,PRD-000779,D04,4593,1064,99,118.3,2,173.88,798630.84,2022-11-05
2022-12-31,STR-0002,PRD-001111,D05,1157,1275,76,922.5,21,293.27,339313.39,2022-11-26
2022-12-31,STR-0002,PRD-001623,D07,15,446,50,0.9,33,89.35,1340.25,2022-12-20
2022-12-31,STR-0002,PRD-001246,D06,1063,1055,172,42.1,2,368.52,391736.76,2022-12-19
2022-12-31,STR-0002,PRD-001873,D08,2702,299,382,55.1,47,68.57,185276.14,2022-12-26
2022-12-31,STR-0002,PRD-000285,D02,2549,1314,71,58.7,6,246.82,629144.18,2022-11-16
2022-12-31,STR-0002,PRD-001408,D07,582,1357,110,22.8,31,796.56,1529873.14,2022-11-09
2022-12-31,STR-0002,PRD-002037,D09,4671,268,368,235.7,4,74.24,346775.04,2022-11-12
2022-12-31,STR-0002,PRD-002285,D10,1318,28,306,31.7,35,705.71,930125.78,2022-11-18
2022-12-31,STR-0002,PRD-000171,D01,1470,612,295,89.6,47,771.83,1134590.1,2022-11-18
2022-12-31,STR-0002,PRD-000814,D04,3358,26,239,486.4,45,297.22,998064.76,2022-11-15
2022-12-31,STR-0002,PRD-000466,D03,567,1773,489,26.1,21,599.39,339854.13,2022-11-12
2022-12-31,STR-0002,PRD-002418,D10,205,1018,14,6.1,3,158.84,32562.2,2022-11-28
2022-12-31,STR-0002,PRD-000785,D04,1124,1010,242,23.3,42,646.83,727036.92,2022-11-19
2022-12-31,STR-0002,PRD-000296,D02,1544,755,282,32.2,33,509.28,786328.32,2022-11-19
2022-12-31,STR-0002,PRD-001899,D08,4504,1281,214,187.2,13,120.03,540615.12,2022-12-09
2022-12-31,STR-0002,PRD-002413,D10,4936,926,234,98.7,0,86.87,428790.32,2022-11-20
2022-12-31,STR-0002,PRD-000924,D04,2337,1760,388,96.2,19,376.59,880090.83,2022-11-13
2022-12-31,STR-0002,PRD-001917,D08,4680,319,265,150.2,23,356.09,5499453.96,2022-11-11
2022-12-31,STR-0002,PRD-000612,D03,2310,507,337,50.4,49,400.29,924669.9,2022-12-15
2022-12-31,STR-0002,PRD-001781,D08,4898,739,13,1070.7,3,504.38,2470453.24,2022-12-21
2022-12-31,STR-0002,PRD-002058,D09,3608,1778,137,74.8,9,123.74,1473297.94,2022-12-28
2022-12-31,STR-0002,PRD-002008,D09,2782,533,78,73.5,47,10.82,30101.24,2022-11-24
2022-12-31,STR-0002,PRD-001806,D08,1480,1333,385,73.8,16,247.44,366211.2,2022-12-09
2022-12-31,STR-0002,PRD-001453,D07,4026,1200,470,90.7,10,180.16,725324.16,2022-11-21
2022-12-31,STR-0002,PRD-000367,D02,1758,821,152,52.1,49,70.96,124747.68,2022-11-18
2022-12-31,STR-0002,PRD-001193,D06,1649,1350,26,65.3,29,304.23,501675.27,2022-12-27
2022-12-31,STR-0002,PRD-001770,D08,61,694,363,3.3,25,402.51,24553.11,2022-11-28
2022-12-31,STR-0002,PRD-001655,D07,1266,1001,307,48.8,3,333.72,422489.52,2022-11-15
2022-12-31,STR-0002,PRD-000534,D03,1482,374,248,54.8,26,215.6,319519.2,2022-11-28
2022-12-31,STR-0002,PRD-001428,D07,873,495,300,99.9,21,621.17,542281.41,2022-12-17
2022-12-31,STR-0002,PRD-001961,D09,2426,1758,207,209.6,12,623.96,1513726.96,2022-11-06
2022-12-31,STR-0002,PRD-000883,D04,4799,1144,397,1021.3,41,569.24,2731782.76,2022-12-01
2022-12-31,STR-0002,PRD-001918,D08,3983,983,88,140.9,36,538.93,2146558.19,2022-11-19
2022-12-31,STR-0002,PRD-000145,D01,1919,1546,410,107.3,13,727.17,1395439.23,2022-11-09
2022-12-31,STR-0002,PRD-000120,D01,3582,448,426,133.8,5,621.86,2227502.52,2022-12-23
2022-12-31,STR-0002,PRD-002278,D10,3422,805,498,260.2,40,307.6,1052607.2,2022-11-26
2022-12-31,STR-0002,PRD-001329,D06,4400,707,23,230.4,44,751.95,3308580.0,2022-11-19
2022-12-31,STR-0002,PRD-002310,D10,1716,1196,41,73.9,43,507.0,870012.0,2022-12-24
2022-12-31,STR-0002,PRD-001240,D06,472,462,380,10.9,44,717.17,338504.24,2022-12-30
2022-12-31,STR-0002,PRD-001589,D07,3216,384,253,115.9,19,496.68,1597322.88,2022-12-25
2022-12-31,STR-0002,PRD-001870,D08,4822,436,36,190.6,34,436.44,2104513.68,2022-12-10
2022-12-31,STR-0002,PRD-002210,D09,589,1032,68,14.2,6,127.75,75244.75,2022-12-26
2022-12-31,STR-0002,PRD-002286,D10,3300,66,443,71.1,49,376.17,1241361.0,2022-11-02
2022-12-31,STR-0002,PRD-000016,D01,4966,1557,213,108.3,36,310.93,1544078.38,2022-12-02
2022-12-31,STR-0002,PRD-001962,D09,3377,1929,178,77.6,27,644.91,2177861.07,2022-11-08
2022-12-31,STR-0002,PRD-000680,D03,1526,152,67,111.0,49,52.46,264178.07,2022-11-15
2022-12-31,STR-0002,PRD-000348,D02,3105,1825,439,508.5,49,120.73,374866.65,2022-12-08
2022-12-31,STR-0002,PRD-002069,D09,1915,1385,158,41.7,25,445.27,852692.05,2022-12-12
2022-12-31,STR-0002,PRD-001505,D07,3397,1439,170,133.5,11,350.31,1190003.07,2022-12-07
2022-12-31,STR-0002,PRD-000727,D04,3461,1567,227,149.3,9,413.4,1430777.4,2022-11-14
2022-12-31,STR-0002,PRD-001735,D08,4561,1742,131,101.9,13,362.9,1655186.9,2022-12-27
2022-12-31,STR-0002,PRD-002411,D10,387,607,300,8.8,23,224.29,86800.23,2022-11-24
2022-12-31,STR-0002,PRD-001667,D07,2761,1323,97,451.8,16,203.6,562139.6,2022-12-23
2022-12-31,STR-0002,PRD-001378,D06,578,1361,93,29.9,33,617.35,1177533.39,2022-11-27
2022-12-31,STR-0002,PRD-001429,D07,3045,1018,413,108.1,14,96.0,292320.0,2022-11-09
2022-12-31,STR-0002,PRD-001083,D05,3210,125,443,67.7,49,565.92,1816603.2,2022-11-26
2022-12-31,STR-0002,PRD-000368,D02,4868,543,408,141.3,41,55.24,268908.32,2022-11-03
2022-12-31,STR-0002,PRD-000505,D03,3952,948,315,104.3,26,565.89,2236397.28,2022-12-24
2022-12-31,STR-0002,PRD-002039,D09,4297,1064,154,127.6,2,676.21,2905674.37,2022-11-01
2022-12-31,STR-0002,PRD-001139,D05,2678,813,25,89.1,18,162.06,433996.68,2022-11-11
2022-12-31,STR-0002,PRD-001292,D06,4971,1995,132,118.2,49,54.9,272907.9,2022-11-27
2022-12-31,STR-0003,PRD-001772,D08,2772,1160,109,126.6,8,232.03,643187.16,2022-11-08
