product_id,product_name,dept_id,dept_name,category,supplier_id,sku,unit_cost_usd,unit_price_usd,reorder_point,is_perishable,status
PRD-000060,Headphones Item 60,D01,Electronics,Headphones,SUP-013,SKU-0000060,123.2,394.96,488,0,Active
PRD-000061,Headphones Item 61,D01,Electronics,Headphones,SUP-012,SKU-0000061,732.43,1826.0,88,0,Active
PRD-000062,TVs Item 62,D01,Electronics,TVs,SUP-002,SKU-0000062,362.7,534.66,282,0,Active
PRD-000063,Smartphones Item 63,D01,Electronics,Smartphones,SUP-013,SKU-0000063,1.32,3.93,482,0,Active
PRD-000064,Tablets Item 64,D01,Electronics,Tablets,SUP-004,SKU-0000064,236.37,778.67,386,0,Discontinued
PRD-000065,Smartphones Item 65,D01,Electronics,Smartphones,SUP-007,SKU-0000065,327.78,728.97,140,0,Active
PRD-000066,Cameras Item 66,D01,Electronics,Cameras,SUP-014,SKU-0000066,706.64,879.85,71,0,Active
PRD-000067,TVs Item 67,D01,Electronics,TVs,SUP-002,SKU-0000067,46.16,120.08,164,0,Active
PRD-000068,Smartphones Item 68,D01,Electronics,Smartphones,SUP-014,SKU-0000068,351.97,246.38,230,0,Active
PRD-000069,Smartphones Item 69,D01,Electronics,Smartphones,SUP-006,SKU-0000069,735.03,1335.56,459,0,Active
PRD-000070,TVs Item 70,D01,Electronics,TVs,SUP-005,SKU-0000070,23.47,65.07,193,0,Active
PRD-000071,Laptops Item 71,D01,Electronics,Laptops,SUP-001,SKU-0000071,748.24,1959.72,264,0,Seasonal
PRD-000072,Tablets Item 72,D01,Electronics,Tablets,SUP-014,SKU-0000072,97.75,308.0,207,0,Active
PRD-000073,Cameras Item 73,D01,Electronics,Cameras,SUP-014,SKU-0000073,456.32,1410.89,168,0,Active
PRD-000074,Cameras Item 74,D01,Electronics,Cameras,SUP-003,SKU-0000074,512.72,1259.23,307,0,Active
PRD-000075,Smartphones Item 75,D01,Electronics,Smartphones,SUP-001,SKU-0000075,313.39,1057.62,230,0,Discontinued
PRD-000076,TVs Item 76,D01,Electronics,TVs,SUP-001,SKU-0000076,499.97,930.94,20,0,Seasonal
PRD-000077,Cameras Item 77,D01,Electronics,Cameras,SUP-014,SKU-0000077,697.26,1428.72,156,0,Active
PRD-000078,Laptops Item 78,D01,Electronics,Laptops,SUP-014,SKU-0000078,314.19,701.16,273,0,Active
PRD-000079,Cameras Item 79,D01,Electronics,Cameras,SUP-009,SKU-0000079,320.99,1005.33,311,0,Active
PRD-000080,Tablets Item 80,D01,Electronics,Tablets,SUP-010,SKU-0000080,736.19,2035.64,226,0,Discontinued
PRD-000081,Laptops Item 81,D01,Electronics,Laptops,SUP-001,SKU-0000081,7.25,23.21,493,0,Active
PRD-000082,Smartphones Item 82,D01,Electronics,Smartphones,SUP-006,SKU-0000082,621.03,1144.11,184,0,Active
PRD-000083,Laptops Item 83,D01,Electronics,Laptops,SUP-006,SKU-0000083,373.83,1122.87,76,0,Seasonal
PRD-000084,TVs Item 84,D01,Electronics,TVs,SUP-001,SKU-0000084,282.92,920.28,91,0,Discontinued
PRD-000085,Laptops Item 85,D01,Electronics,Laptops,SUP-003,SKU-0000085,338.75,1033.78,30,0,Seasonal
PRD-000086,Headphones Item 86,D01,Electronics,Headphones,SUP-015,SKU-0000086,78.89,232.43,267,0,Seasonal
PRD-000087,Cameras Item 87,D01,Electronics,Cameras,SUP-012,SKU-0000087,338.37,1015.12,118,0,Seasonal
PRD-000088,Headphones Item 88,D01,Electronics,Headphones,SUP-007,SKU-0000088,684.0,994.64,72,0,Active
PRD-000089,Headphones Item 89,D01,Electronics,Headphones,SUP-011,SKU-0000089,14.01,27.58,405,0,Active
PRD-000090,Tablets Item 90,D01,Electronics,Tablets,SUP-014,SKU-0000090,16.84,21.42,346,0,Seasonal
PRD-000091,Cameras Item 91,D01,Electronics,Cameras,SUP-015,SKU-0000091,391.68,885.1,261,0,Discontinued
PRD-000092,Smartphones Item 92,D01,Electronics,Smartphones,SUP-008,SKU-0000092,31.31,58.98,150,0,Active
PRD-000093,Smartphones Item 93,D01,Electronics,Smartphones,SUP-003,SKU-0000093,78.96,196.48,254,0,Active
PRD-000094,TVs Item 94,D01,Electronics,TVs,SUP-007,SKU-0000094,245.53,336.35,481,0,Active
PRD-000095,Headphones Item 95,D01,Electronics,Headphones,SUP-002,SKU-0000095,490.05,722.75,255,0,Active
PRD-000096,Headphones Item 96,D01,Electronics,Headphones,SUP-008,SKU-0000096,91.49,159.35,172,0,Active
PRD-000097,Cameras Item 97,D01,Electronics,Cameras,SUP-014,SKU-0000097,92.63,268.87,242,0,Discontinued
PRD-000098,Cameras Item 98,D01,Electronics,Cameras,SUP-005,SKU-0000098,91.39,285.02,64,0,Active
PRD-000099,Smartphones Item 99,D01,Electronics,Smartphones,SUP-009,SKU-0000099,255.72,540.87,241,0,Active
PRD-000100,Headphones Item 100,D01,Electronics,Headphones,SUP-008,SKU-0000100,789.15,552.4,271,0,Discontinued
PRD-000101,TVs Item 101,D01,Electronics,TVs,SUP-012,SKU-0000101,86.72,285.42,290,0,Active
PRD-000102,Laptops Item 102,D01,Electronics,Laptops,SUP-008,SKU-0000102,148.06,216.58,280,0,Active
PRD-000103,Headphones Item 103,D01,Electronics,Headphones,SUP-006,SKU-0000103,64.93,98.76,111,0,Active
PRD-000104,TVs Item 104,D01,Electronics,TVs,SUP-007,SKU-0000104,709.43,1312.98,28,0,Discontinued
PRD-000105,TVs Item 105,D01,Electronics,TVs,SUP-011,SKU-0000105,294.83,462.72,486,0,Seasonal
PRD-000106,Headphones Item 106,D01,Electronics,Headphones,SUP-011,SKU-0000106,445.31,1325.82,27,0,Active
PRD-000107,Tablets Item 107,D01,Electronics,Tablets,SUP-006,SKU-0000107,630.45,1928.4,47,0,Active
PRD-000108,TVs Item 108,D01,Electronics,TVs,SUP-010,SKU-0000108,728.18,932.82,400,0,Active
PRD-000109,Smartphones Item 109,D01,Electronics,Smartphones,SUP-001,SKU-0000109,141.47,453.81,37,0,Discontinued
PRD-000110,Laptops Item 110,D01,Electronics,Laptops,SUP-011,SKU-0000110,782.93,2078.05,333,0,Active
PRD-000111,Smartphones Item 111,D01,Electronics,Smartphones,SUP-015,SKU-0000111,209.79,482.5,141,0,Discontinued
PRD-000112,Cameras Item 112,D01,Electronics,Cameras,SUP-001,SKU-0000112,448.23,672.19,445,0,Discontinued
PRD-000113,Tablets Item 113,D01,Electronics,Tablets,SUP-015,SKU-0000113,411.34,1112.19,115,0,Discontinued
PRD-000114,Smartphones Item 114,D01,Electronics,Smartphones,SUP-015,SKU-0000114,727.85,1625.67,251,0,Active
PRD-000115,Headphones Item 115,D01,Electronics,Headphones,SUP-008,SKU-0000115,224.35,328.04,214,0,Discontinued
PRD-000116,Headphones Item 116,D01,Electronics,Headphones,SUP-015,SKU-0000116,353.09,961.79,284,0,Seasonal
PRD-000117,Headphones Item 117,D01,Electronics,Headphones,SUP-010,SKU-0000117,719.19,1565.28,167,0,Active
PRD-000118,Headphones Item 118,D01,Electronics,Headphones,SUP-015,SKU-0000118,378.93,641.56,240,0,Active
PRD-000119,Tablets Item 119,D01,Electronics,Tablets,SUP-010,SKU-0000119,459.8,871.52,383,0,Active
PRD-000120,Smartphones Item 120,D01,Electronics,Smartphones,SUP-007,SKU-0000120,621.86,435.3,129,0,Seasonal
PRD-000121,Laptops Item 121,D01,Electronics,Laptops,SUP-009,SKU-0000121,744.48,1841.04,326,0,Active
PRD-000122,Tablets Item 122,D01,Electronics,Tablets,SUP-014,SKU-0000122,131.66,206.79,75,0,Active
PRD-000123,TVs Item 123,D01,Electronics,TVs,SUP-015,SKU-0000123,184.64,584.51,227,0,Discontinued
PRD-000124,TVs Item 124,D01,Electronics,TVs,SUP-010,SKU-0000124,131.83,264.74,416,0,Active
PRD-000125,Tablets Item 125,D01,Electronics,Tablets,SUP-001,SKU-0000125,512.92,1602.03,342,0,Seasonal
PRD-000126,TVs Item 126,D01,Electronics,TVs,SUP-013,SKU-0000126,11.09,29.1,331,0,Discontinued
PRD-000127,Headphones Item 127,D01,Electronics,Headphones,SUP-013,SKU-0000127,590.73,1916.9,142,0,Seasonal
PRD-000128,TVs Item 128,D01,Electronics,TVs,SUP-014,SKU-0000128,188.19,131.73,44,0,Active
PRD-000129,Laptops Item 129,D01,Electronics,Laptops,SUP-004,SKU-0000129,644.6,1368.53,363,0,Active
PRD-000130,Headphones Item 130,D01,Electronics,Headphones,SUP-004,SKU-0000130,342.72,424.57,83,0,Active
PRD-000131,TVs Item 131,D01,Electronics,TVs,SUP-009,SKU-0000131,364.55,486.58,50,0,Discontinued
PRD-000132,Smartphones Item 132,D01,Electronics,Smartphones,SUP-005,SKU-0000132,146.81,378.19,379,0,Active
PRD-000133,Smartphones Item 133,D01,Electronics,Smartphones,SUP-014,SKU-0000133,260.58,516.44,495,0,Discontinued
PRD-000134,Headphones Item 134,D01,Electronics,Headphones,SUP-006,SKU-0000134,113.73,382.58,493,0,Active
PRD-000135,Smartphones Item 135,D01,Electronics,Smartphones,SUP-008,SKU-0000135,349.43,965.7,46,0,Active
PRD-000136,Tablets Item 136,D01,Electronics,Tablets,SUP-013,SKU-0000136,67.27,186.26,161,0,Seasonal
PRD-000137,TVs Item 137,D01,Electronics,TVs,SUP-012,SKU-0000137,442.06,1209.8,176,0,Active
PRD-000138,Laptops Item 138,D01,Electronics,Laptops,SUP-001,SKU-0000138,12.14,17.5,487,0,Discontinued
PRD-000139,Tablets Item 139,D01,Electronics,Tablets,SUP-005,SKU-0000139,440.34,1062.73,239,0,Discontinued
PRD-000140,Tablets Item 140,D01,Electronics,Tablets,SUP-006,SKU-0000140,77.62,251.36,310,0,Active
PRD-000141,TVs Item 141,D01,Electronics,TVs,SUP-002,SKU-0000141,115.53,193.48,78,0,Active
PRD-000142,Headphones Item 142,D01,Electronics,Headphones,SUP-007,SKU-0000142,339.96,1000.5,356,0,Discontinued
PRD-000143,Laptops Item 143,D01,Electronics,Laptops,SUP-003,SKU-0000143,429.81,1430.17,284,0,Active
PRD-000144,Headphones Item 144,D01,Electronics,Headphones,SUP-010,SKU-0000144,251.75,656.91,24,0,Active
PRD-000145,Smartphones Item 145,D01,Electronics,Smartphones,SUP-008,SKU-0000145,727.17,1151.81,113,0,Active
PRD-000146,Cameras Item 146,D01,Electronics,Cameras,SUP-015,SKU-0000146,108.39,303.56,55,0,Active
PRD-000147,Cameras Item 147,D01,Electronics,Cameras,SUP-007,SKU-0000147,523.07,994.57,183,0,Active
PRD-000148,Laptops Item 148,D01,Electronics,Laptops,SUP-004,SKU-0000148,705.29,856.14,435,0,Active
PRD-000149,Tablets Item 149,D01,Electronics,Tablets,SUP-009,SKU-0000149,258.83,434.16,344,0,Active
PRD-000150,Cameras Item 150,D01,Electronics,Cameras,SUP-004,SKU-0000150,199.84,514.02,76,0,Seasonal
PRD-000151,Smartphones Item 151,D01,Electronics,Smartphones,SUP-013,SKU-0000151,203.12,553.8,345,0,Active
PRD-000152,Headphones Item 152,D01,Electronics,Headphones,SUP-011,SKU-0000152,201.69,665.18,354,0,Active
PRD-000153,Cameras Item 153,D01,Electronics,Cameras,SUP-010,SKU-0000153,371.21,1252.42,46,0,Active
PRD-000154,TVs Item 154,D01,Electronics,TVs,SUP-001,SKU-0000154,352.71,1131.7,143,0,Active
PRD-000155,TVs Item 155,D01,Electronics,TVs,SUP-007,SKU-0000155,323.09,1097.13,344,0,Discontinued
PRD-000156,Smartphones Item 156,D01,Electronics,Smartphones,SUP-011,SKU-0000156,555.57,676.06,500,0,Seasonal
PRD-000157,Headphones Item 157,D01,Electronics,Headphones,SUP-001,SKU-0000157,7.78,17.88,248,0,Active
PRD-000158,Smartphones Item 158,D01,Electronics,Smartphones,SUP-008,SKU-0000158,620.85,1950.61,277,0,Active
PRD-000159,Laptops Item 159,D01,Electronics,Laptops,SUP-003,SKU-0000159,743.44,1690.83,40,0,Active
PRD-000160,Laptops Item 160,D01,Electronics,Laptops,SUP-008,SKU-0000160,207.0,421.05,319,0,Active
PRD-000161,Smartphones Item 161,D01,Electronics,Smartphones,SUP-013,SKU-0000161,74.92,187.31,47,0,Active
PRD-000162,Cameras Item 162,D01,Electronics,Cameras,SUP-009,SKU-0000162,270.6,361.8,326,0,Active
PRD-000163,Headphones Item 163,D01,Electronics,Headphones,SUP-004,SKU-0000163,520.27,625.33,343,0,Active
PRD-000164,Laptops Item 164,D01,Electronics,Laptops,SUP-005,SKU-0000164,373.45,1264.57,236,0,Active
PRD-000165,Smartphones Item 165,D01,Electronics,Smartphones,SUP-012,SKU-0000165,663.72,1702.11,334,0,Seasonal
PRD-000166,Smartphones Item 166,D01,Electronics,Smartphones,SUP-003,SKU-0000166,32.63,111.47,44,0,Seasonal
PRD-000167,Cameras Item 167,D01,Electronics,Cameras,SUP-015,SKU-0000167,189.68,551.94,370,0,Active
PRD-000168,TVs Item 168,D01,Electronics,TVs,SUP-007,SKU-0000168,266.86,647.52,215,0,Active
PRD-000169,Headphones Item 169,D01,Electronics,Headphones,SUP-015,SKU-0000169,323.13,1101.45,152,0,Discontinued
PRD-000170,Smartphones Item 170,D01,Electronics,Smartphones,SUP-005,SKU-0000170,61.8,99.89,196,0,Seasonal
PRD-000171,Headphones Item 171,D01,Electronics,Headphones,SUP-015,SKU-0000171,771.83,1561.34,172,0,Seasonal
PRD-000172,Cameras Item 172,D01,Electronics,Cameras,SUP-007,SKU-0000172,717.74,2132.64,95,0,Discontinued
PRD-000173,Headphones Item 173,D01,Electronics,Headphones,SUP-008,SKU-0000173,85.16,219.94,314,0,Seasonal
PRD-000174,Tablets Item 174,D01,Electronics,Tablets,SUP-007,SKU-0000174,296.92,772.11,307,0,Active
PRD-000175,Smartphones Item 175,D01,Electronics,Smartphones,SUP-014,SKU-0000175,26.17,64.41,204,0,Active
PRD-000176,Smartphones Item 176,D01,Electronics,Smartphones,SUP-005,SKU-0000176,232.54,333.21,200,0,Active
PRD-000177,TVs Item 177,D01,Electronics,TVs,SUP-002,SKU-0000177,299.5,1043.59,287,0,Seasonal
PRD-000178,Smartphones Item 178,D01,Electronics,Smartphones,SUP-003,SKU-0000178,100.03,279.91,23,0,Active
PRD-000179,TVs Item 179,D01,Electronics,TVs,SUP-002,SKU-0000179,203.01,425.29,77,0,Seasonal
PRD-000180,TVs Item 180,D01,Electronics,TVs,SUP-010,SKU-0000180,287.71,773.76,178,0,Seasonal
PRD-000181,Cameras Item 181,D01,Electronics,Cameras,SUP-013,SKU-0000181,383.08,1152.23,86,0,Seasonal
PRD-000182,Headphones Item 182,D01,Electronics,Headphones,SUP-005,SKU-0000182,52.74,134.19,194,0,Active
PRD-000183,Cameras Item 183,D01,Electronics,Cameras,SUP-011,SKU-0000183,729.34,896.65,412,0,Active
PRD-000184,Laptops Item 184,D01,Electronics,Laptops,SUP-010,SKU-0000184,742.26,1025.45,238,0,Active
PRD-000185,Cameras Item 185,D01,Electronics,Cameras,SUP-002,SKU-0000185,366.14,1086.75,275,0,Seasonal
PRD-000186,TVs Item 186,D01,Electronics,TVs,SUP-012,SKU-0000186,84.96,125.82,423,0,Seasonal
PRD-000187,Tablets Item 187,D01,Electronics,Tablets,SUP-012,SKU-0000187,683.53,1656.93,373,0,Active
PRD-000188,Headphones Item 188,D01,Electronics,Headphones,SUP-005,SKU-0000188,294.08,750.84,256,0,Discontinued
PRD-000189,Smartphones Item 189,D01,Electronics,Smartphones,SUP-005,SKU-0000189,124.77,368.84,78,0,Active
PRD-000190,Tablets Item 190,D01,Electronics,Tablets,SUP-003,SKU-0000190,137.0,392.32,125,0,Discontinued
PRD-000191,Laptops Item 191,D01,Electronics,Laptops,SUP-007,SKU-0000191,165.57,232.85,352,0,Active
PRD-000192,Cameras Item 192,D01,Electronics,Cameras,SUP-011,SKU-0000192,741.1,1444.36,265,0,Active
PRD-000193,TVs Item 193,D01,Electronics,TVs,SUP-007,SKU-0000193,401.45,707.23,313,0,Discontinued
PRD-000194,Laptops Item 194,D01,Electronics,Laptops,SUP-004,SKU-0000194,537.31,1765.09,286,0,Seasonal
PRD-000195,Smartphones Item 195,D01,Electronics,Smartphones,SUP-005,SKU-0000195,287.6,923.64,486,0,Seasonal
PRD-000196,Tablets Item 196,D01,Electronics,Tablets,SUP-015,SKU-0000196,126.66,147.52,83,0,Active
PRD-000197,Tablets Item 197,D01,Electronics,Tablets,SUP-002,SKU-0000197,222.77,719.77,259,0,Active
PRD-000198,Tablets Item 198,D01,Electronics,Tablets,SUP-005,SKU-0000198,49.54,129.0,287,0,Active
PRD-000199,Smartphones Item 199,D01,Electronics,Smartphones,SUP-011,SKU-0000199,656.65,1430.79,338,0,Active
PRD-000200,Smartphones Item 200,D01,Electronics,Smartphones,SUP-007,SKU-0000200,562.64,1639.84,355,0,Active
PRD-000201,,D01,Electronics,Smartphones,SUP-009,SKU-0000201,414.48,1050.24,331,0,Active
PRD-000202,Tablets Item 202,D01,Electronics,Tablets,SUP-010,SKU-0000202,607.97,1506.93,424,0,Active
PRD-000203,Headphones Item 203,D01,Electronics,Headphones,SUP-007,SKU-0000203,96.95,321.38,385,0,Active
PRD-000204,Cameras Item 204,D01,Electronics,Cameras,SUP-011,SKU-0000204,63.98,139.18,307,0,Active
PRD-000205,TVs Item 205,D01,Electronics,TVs,SUP-003,SKU-0000205,9.96,6.97,377,0,Active
PRD-000206,Tablets Item 206,D01,Electronics,Tablets,SUP-013,SKU-0000206,697.14,1349.33,279,0,Seasonal
PRD-000207,Smartphones Item 207,D01,Electronics,Smartphones,SUP-006,SKU-0000207,37.01,50.37,225,0,Active
PRD-000208,Tablets Item 208,D01,Electronics,Tablets,SUP-004,SKU-0000208,41.93,130.13,368,0,Seasonal
PRD-000209,TVs Item 209,D01,Electronics,TVs,SUP-012,SKU-0000209,638.56,1373.04,427,0,Active
PRD-000210,TVs Item 210,D01,Electronics,TVs,SUP-011,SKU-0000210,202.0,310.24,216,0,Active
PRD-000211,TVs Item 211,D01,Electronics,TVs,SUP-011,SKU-0000211,58.47,128.74,71,0,Active
PRD-000212,Laptops Item 212,D01,Electronics,Laptops,SUP-010,SKU-0000212,684.16,1111.44,82,0,Discontinued
PRD-000213,TVs Item 213,D01,Electronics,TVs,SUP-015,SKU-0000213,270.18,701.45,65,0,Active
PRD-000214,Headphones Item 214,D01,Electronics,Headphones,SUP-011,SKU-0000214,433.93,789.2,120,0,Active
PRD-000215,Tablets Item 215,D01,Electronics,Tablets,SUP-009,SKU-0000215,54.16,95.63,371,0,Active
PRD-000216,Cameras Item 216,D01,Electronics,Cameras,SUP-007,SKU-0000216,722.45,1614.84,438,0,Active
PRD-000217,Laptops Item 217,D01,Electronics,Laptops,SUP-011,SKU-0000217,411.39,1304.48,278,0,Active
PRD-000218,Cameras Item 218,D01,Electronics,Cameras,SUP-003,SKU-0000218,687.0,982.09,257,0,Active
PRD-000219,Cameras Item 219,D01,Electronics,Cameras,SUP-009,SKU-0000219,479.14,926.45,212,0,Seasonal
PRD-000220,Shoes Item 220,D02,Clothing & Apparel,Shoes,SUP-006,SKU-0000220,234.41,329.89,429,0,Active
PRD-000221,Men's Clothing Item 221,D02,Clothing & Apparel,Men's Clothing,SUP-005,SKU-0000221,279.61,401.02,59,0,Active
PRD-000222,Shoes Item 222,D02,Clothing & Apparel,Shoes,SUP-009,SKU-0000222,45.87,65.47,258,0,Discontinued
PRD-000223,Accessories Item 223,D02,Clothing & Apparel,Accessories,SUP-009,SKU-0000223,769.69,1418.18,62,0,Discontinued
PRD-000224,Men's Clothing Item 224,D02,Clothing & Apparel,Men's Clothing,SUP-014,SKU-0000224,412.37,1055.33,261,0,Active
PRD-000225,Men's Clothing Item 225,D02,Clothing & Apparel,Men's Clothing,SUP-001,SKU-0000225,783.58,2256.19,306,0,Active
PRD-000226,Men's Clothing Item 226,D02,Clothing & Apparel,Men's Clothing,SUP-001,SKU-0000226,502.54,784.12,266,0,Active
PRD-000227,Accessories Item 227,D02,Clothing & Apparel,Accessories,SUP-004,SKU-0000227,465.77,1005.35,149,0,Discontinued
PRD-000228,Women's Clothing Item 228,D02,Clothing & Apparel,Women's Clothing,SUP-011,SKU-0000228,545.06,1628.72,335,0,Active
PRD-000229,Women's Clothing Item 229,D02,Clothing & Apparel,Women's Clothing,SUP-002,SKU-0000229,265.2,322.68,261,0,Active
PRD-000230,Sportswear Item 230,D02,Clothing & Apparel,Sportswear,SUP-003,SKU-0000230,769.77,1506.87,236,0,Active
PRD-000231,Accessories Item 231,D02,Clothing & Apparel,Accessories,SUP-004,SKU-0000231,396.89,511.77,28,0,Seasonal
